url,property_id,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,kitchen_surface,water_softener,bathrooms,low_energy,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,rain_water_tank,primary_energy_consumption,co2,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,availability,wash_room,parking_places_indoor,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,diningrooms,frontage_width,terrain_width_roadside,g_score,p_score,cadastral_income,vat,maintenance_cost,property_subtype,postal_code,locality,property_type
https://immovlan.be/en/detail/duplex/for-sale/1400/nivelles/vbd48286,vbd48286,290000.0,2.0,132.0,Normal,,0.0,0.0,0.0,0.0,Super equipped,1900.0,1.0,,,15.0,,1.0,,,Gas,,,,,,,,,,1.0,1.0,,329.0,7965.0,"yes, certificate in accordance",,0.0,0.0,no flooding area,a demarcated riparian zone,,,,,,1.0,38.0,,,0.0,,,0.0,2.0,,2.0,2.0,,,,,,1039.0,No,50.0,duplex,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbd48702,vbd48702,225000.0,3.0,98.0,Normal,4.0,,1.0,,0.0,Fully equipped,,1.0,1.0,Western kitchen,8.0,,1.0,,,Gas,,,,,,,,,,1.0,1.0,,176.0,33.0,,,,0.0,no flooding area,(information not available),,,,,,1.0,25.0,,Double glass,1.0,1.0,,1.0,,,10.0,2.0,,,,,,1361.0,No,,apartment,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vaz39230,vaz39230,295000.0,3.0,103.0,,2.0,0.0,1.0,0.0,,,1990.0,,,,,,1.0,,,Gas,,,,,,,5.0,,,,1.0,,112.0,21.0,"yes, certificate in accordance",,,,(information not available),(information not available),,,,,,0.0,36.0,,,1.0,,,,2.0,,4.0,1.0,,,,,,1385.0,No,200.0,apartment,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vaz68166,vaz68166,180000.0,2.0,75.0,,2.0,0.0,1.0,0.0,,,1975.0,,,,,,1.0,,,Gas,,,,,,,10.0,,,,,,256.0,47.0,"No, certificate does not comply",,,,(information not available),(information not available),,,,,,0.0,25.0,,,1.0,,,,1.0,,7.0,1.0,,,,,,1313.0,No,315.0,apartment,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbd46362,vbd46362,290000.0,3.0,115.0,,,0.0,1.0,0.0,,,,,1.0,,,,,,,Not specified,,,,,,,7.0,,,,,,205.0,53.0,,,,,(information not available),(information not available),,,,,,0.0,32.0,,,1.0,,,,6.0,,8.0,1.0,,,,,,1399.0,No,165.0,apartment,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbb03578,vbb03578,118000.0,1.0,43.0,To be renovated,2.0,0.0,1.0,0.0,,,1978.0,,,,,,1.0,,,Fuel oil,,,,,,,3.0,,,,1.0,,281.0,70.0,"No, certificate does not comply",,,,(information not available),(information not available),,,,,,0.0,15.0,,,0.0,,,,8.0,,10.0,1.0,,,,,,840.0,No,150.0,apartment,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbd41038,vbd41038,175000.0,2.0,79.0,Normal,4.0,0.0,0.0,0.0,0.0,,1969.0,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,303.0,76.0,"yes, certificate in accordance",,,,no flooding area,(information not available),,,,,,0.0,,,Double glass,1.0,,,0.0,,,9.0,1.0,,,,,,,No,250.0,apartment,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbd47205,vbd47205,250000.0,2.0,,,,,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,179.0,,,,,,(information not available),(information not available),,,On contract,,,0.0,,,,,,,,,,,,,,,,,1388.0,No,,apartment,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbb92220,vbb92220,230000.0,3.0,150.0,To be renovated,2.0,0.0,0.0,0.0,,,1982.0,,,,,,1.0,,,Gas,,,,,,,,,,,1.0,,110.0,21.0,"No, certificate does not comply",,,,(information not available),(information not available),,,,,,0.0,43.0,,,1.0,,,,2.0,,4.0,1.0,,,,,,1941.0,No,160.0,apartment,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbb02791,vbb02791,295000.0,2.0,95.0,,2.0,0.0,1.0,0.0,,,2007.0,,1.0,,,,1.0,,,Electricity,,,,,,,7.0,,,,1.0,,217.0,62.0,"yes, certificate in accordance",,,,no flooding area,(information not available),,,,,,0.0,44.0,,,1.0,,,,3.0,,3.0,1.0,,,,,,1254.0,No,122.0,apartment,1400,nivelles,Apartment
